"","rowname","utterance","response","response_time","speaker","responder","utterance_time","error","age","overreg","source_file","utterance_start","utterance_end","response_start","response_end"
"1","14008","two mens men","two men",-0.163,"CHI","MOT","1.416",TRUE,26,TRUE,"Thomas/2-02-08.xml","3267.263","3268.679","3268.516","3270.061"
"2","16191","two mens men","two men",0.073,"CHI","MOT","1.416",TRUE,26,TRUE,"Thomas/2-02-19.xml","3048.647","3050.063","3050.136","3051.262"
"3","17653","two mans men","two mans",0.302,"CHI","MOT","2.067",TRUE,26,TRUE,"Thomas/2-02-26.xml","2384.854","2386.921","2387.223","2388.291"
"4","17657","two mans men","two mans",1.068,"CHI","MOT","1.103",TRUE,26,TRUE,"Thomas/2-02-26.xml","2426.846","2427.949","2429.017","2429.83"
"5","17664","baby mans men","oh you've put some men over your eyes",0.619,"CHI","MOT","1.579",TRUE,26,TRUE,"Thomas/2-02-26.xml","2493.64","2495.219","2495.838","2498.821"
"6","26562","two foots","two foots",0.245,"CHI","MOT","1.666",TRUE,28,TRUE,"Thomas/2-04-01.xml","2127.877","2129.543","2129.788","2130.949"
"7","26679","two peoples","two people",0.046,"CHI","MOT","1.486",TRUE,28,TRUE,"Thomas/2-04-02.xml","289.367","290.853","290.899","292.327"
"8","39506","a tree falled over","the tree's going to fall over because the train is going to hit them",0.011,"CHI","MOT","1.812",TRUE,29,TRUE,"Thomas/2-05-25.xml","3610.397","3612.209","3612.22","3615.123"
"9","41857","two mans men","we can do it with the men",0.907,"CHI","MOT","0.811",TRUE,30,TRUE,"Thomas/2-06-08.xml","2293.433","2294.244","2295.151","2296.195"
"10","46742","a falled over","who fell over",0.128,"CHI","MOT","1.939",TRUE,30,TRUE,"Thomas/2-06-29.xml","2334.032","2335.971","2336.099","2337.12"
"11","47632","yellow fishes","some fish",-0.12,"CHI","MOT","1.2",TRUE,31,TRUE,"Thomas/2-07-01.xml","327.356","328.556","328.436","329.289"
"12","48489","two baby postmans postmen","two baby postmans",0.058,"CHI","MOT","1.706",TRUE,31,TRUE,"Thomas/2-07-06.xml","2185.111","2186.817","2186.875","2188.675"
"13","53613","uh buy fishes and sausages","fishes and sausages",-0.035,"CHI","MOT","2.543",TRUE,31,TRUE,"Thomas/2-07-26.xml","1594.562","1597.105","1597.07","1598.637"
"14","54833","um a lot of mans men","pardon",0.685,"CHI","MOT","2.089",TRUE,31,TRUE,"Thomas/2-07-29.xml","2077.245","2079.334","2080.019","2080.774"
"15","54834","lot of mans men","a lot of mans",0.004,"CHI","MOT","1.196",TRUE,31,TRUE,"Thomas/2-07-29.xml","2080.739","2081.935","2081.939","2082.973"
"16","55975","lot of rubbishes","a lot of rubbish",0.197,"CHI","MOT","1.718",TRUE,32,TRUE,"Thomas/2-08-04.xml","2442.833","2444.551","2444.748","2445.991"
"17","61583","I not see little mouses",NA,0.22,"CHI","MOT","2.148",TRUE,33,TRUE,"Thomas/2-09-02.xml","2127.925","2130.073","2130.293","2130.758"
"18","61631","a my holded it","we'll keep it out because you might have a lot of fun playing with it mightn't you",-0.023,"CHI","MOT","1.776",TRUE,33,TRUE,"Thomas/2-09-02.xml","2520.401","2522.177","2522.154","2527.274"
"19","65138","I fixeded fixed it","you fixeded it",0.07,"CHI","MOT","1.521",TRUE,33,TRUE,"Thomas/2-09-15.xml","2361.705","2363.226","2363.296","2364.759"
"20","66211","lots_of fishes","do you think there are a lot of fishes",-0.091,"CHI","MOT","2.425",TRUE,33,TRUE,"Thomas/2-09-18.xml","2959.5","2961.925","2961.834","2963.572"
"21","66387","saw some big fishes","you saw some big fishes",0.023,"CHI","MOT","2.066",TRUE,33,TRUE,"Thomas/2-09-21.xml","1093.021","1095.087","1095.11","1096.283"
"22","67973","I have builded it","you've builded it",0.22,"CHI","MOT","1.997",TRUE,33,TRUE,"Thomas/2-09-24.xml","1638.784","1640.781","1641.001","1642.023"
"23","68092","eated it","she eaten eat",0.046,"CHI","MOT","0.941",TRUE,33,TRUE,"Thomas/2-09-24.xml","2612.718","2613.659","2613.705","2614.739"
"24","68510","it's not it's not fixeded fixed","it's not fixeded",-0.093,"CHI","MOT","2.531",TRUE,33,TRUE,"Thomas/2-09-25.xml","2113.292","2115.823","2115.73","2116.635"
"25","69010","Bob_the_Builder nearly runned","pardon",1.637,"CHI","MOT","2.333",TRUE,33,TRUE,"Thomas/2-09-28.xml","2137.77","2140.103","2141.74","2142.263"
"26","69132","xxx big fishes","yes",NA,"CHI","MOT","media info not available",TRUE,33,TRUE,"Thomas/2-09-28.xml","media info not found","media info not found","3098.191","3098.492"
"27","69805","Bob_Builder fixeded fixed it","Bob_the_Builder fixed it",0.012,"CHI","MOT","2.032",TRUE,33,TRUE,"Thomas/2-09-29.xml","3493.612","3495.644","3495.656","3499.243"
"28","70186","we all two firemens firemen","we're two firemen are we",-0.005,"CHI","MOT","2.659",TRUE,33,TRUE,"Thomas/2-09-30.xml","2865.304","2867.963","2867.958","2869.56"
"29","72569","good mans men","he's a good man is he",0.464,"CHI","MOT","1.811",TRUE,34,TRUE,"Thomas/2-10-09.xml","1857.014","1858.825","1859.289","1860.636"
"30","74459","an droved away","he's driving away",0.36,"CHI","MOT","1.277",TRUE,34,TRUE,"Thomas/2-10-22.xml","1693.352","1694.629","1694.989","1696.452"
"31","74740","lady getted off it a did something","the lady got off a blue caravan to get something",0.641,"CHI","MOT","4.133",TRUE,34,TRUE,"Thomas/2-10-23.xml","167.84","171.973","172.614","175.69"
"32","75772","someone droved over on path","pardon",0.627,"CHI","MOT","2.264",TRUE,34,TRUE,"Thomas/2-10-25.xml","1301.224","1303.488","1304.115","1304.707"
"33","75773","someone droved over path","yes",-0.047,"CHI","MOT","1.684",TRUE,34,TRUE,"Thomas/2-10-25.xml","1304.672","1306.356","1306.309","1306.611"
"34","75835","goed away","I'll just move that",7.389,"CHI","MOT","1.509",TRUE,34,TRUE,"Thomas/2-10-25.xml","1772.597","1774.106","1781.495","1783.272"
"35","80703","just remember runned","you've just remember to run like the dustbin man when he gets out of his cab",0.06,"CHI","MOT","2.635",TRUE,35,TRUE,"Thomas/2-11-14.xml","2274.489","2277.124","2277.184","2280.923"
"36","81199","Jake on the firemens firemen","oh when it's down to one fireman it's just Jake",1.231,"CHI","MOT","2.565",TRUE,35,TRUE,"Thomas/2-11-20.xml","836.288","838.853","840.084","842.104"
"37","81253","droved away","what did the policeman find when he went to see the fireman",1.44,"CHI","MOT","1.916",TRUE,35,TRUE,"Thomas/2-11-20.xml","1421.609","1423.525","1424.965","1427.774"
"38","81292","dustbin man tipper throwed it away","oh",0.209,"CHI","MOT","5.84",TRUE,35,TRUE,"Thomas/2-11-20.xml","1910.609","1916.449","1916.658","1917.227"
"39","81295","Judy throwed it","Judy threw something away",0.233,"CHI","MOT","1.904",TRUE,35,TRUE,"Thomas/2-11-20.xml","1932.921","1934.825","1935.058","1936.834"
"40","81377","big snake goed around","has somebody called you mischief",0.035,"CHI","MOT","2.194",TRUE,35,TRUE,"Thomas/2-11-20.xml","2844.953","2847.147","2847.182","2849.19"
"41","81733","big wind comed up and blows two down","the big the big wind come up and blown two of them down",0.543,"CHI","MOT","4.423",TRUE,35,TRUE,"Thomas/2-11-21.xml","2582.091","2586.514","2587.057","2590.099"
"42","81877","I am talking about nice womans","you're talking about nice womans",0.042,"CHI","MOT","3.216",TRUE,35,TRUE,"Thomas/2-11-26.xml","96.536","99.752","99.794","102.546"
"43","82942","dirty beer lorry bringed that","the beer lorry brings that",0.024,"CHI","MOT","2.229",TRUE,35,TRUE,"Thomas/2-11-28.xml","2261.072","2263.301","2263.325","2264.88"
"44","82952","lorry droved away","driven away Thomas",0.627,"CHI","MOT","2.287",TRUE,35,TRUE,"Thomas/2-11-28.xml","2389.195","2391.482","2392.109","2394.118"
"45","83646","some silly womans women","what about Bryony and Charlotte",3.936,"CHI","MOT","2.125",TRUE,36,TRUE,"Thomas/3-00-01.xml","2997.387","2999.512","3003.448","3005.282"
"46","83668","a lorry droved away","driven away",-0.012,"CHI","MOT","2.357",TRUE,36,TRUE,"Thomas/3-00-01.xml","3179.65","3182.007","3181.995","3183.029"
"47","84424","eated that","eated it",-0.046,"CHI","MOT","0.871",TRUE,36,TRUE,"Thomas/3-00-03.xml","2664.59","2665.461","2665.415","2666.03"
"48","84603","flied in here","flied in here did it",NA,"CHI","MOT","1.579",TRUE,36,TRUE,"Thomas/3-00-07.xml","281.912","283.491","media info not found","media info not found"
"49","85275","a dustbin mens men arriving","no",0.209,"CHI","MOT","2.275",TRUE,36,TRUE,"Thomas/3-00-11.xml","283.014","285.289","285.498","285.765"
"50","85628","I drawed under here","I know you did",-0.093,"CHI","MOT","0.998",TRUE,36,TRUE,"Thomas/3-00-11.xml","3191.965","3192.963","3192.87","3193.741"
"51","85631","dustbin mens men are here","who's here",0.441,"CHI","MOT","2.043",TRUE,36,TRUE,"Thomas/3-00-11.xml","3212.154","3214.197","3214.638","3215.312"
"52","85933","it runned away","you've driven away",5.322,"CHI","MOT","1.881",TRUE,36,TRUE,"Thomas/3-00-14.xml","2280.541","2282.422","2287.744","2289.694"
"53","86210","mans men wanted to kiss the fire engine","I would have liked to have kissed the fireman",0.464,"CHI","MOT","2.682",TRUE,36,TRUE,"Thomas/3-00-15.xml","953.589","956.271","956.735","958.349"
"54","86248","womans","no",0.593,"CHI","MOT","1.079",TRUE,36,TRUE,"Thomas/3-00-15.xml","1276.928","1278.007","1278.6","1278.925"
"55","87985","I I eated this one","that's right",-0.034,"CHI","MOT","2.089",TRUE,36,TRUE,"Thomas/3-00-23.xml","1818.216","1820.305","1820.271","1821.072"
"56","88093","Firefighter_Morris lied on the floor","oh right",0.198,"CHI","MOT","3.494",TRUE,36,TRUE,"Thomas/3-00-23.xml","2762.034","2765.528","2765.726","2766.062"
"57","88429","I think a mans men sleeps in there","do you think he sleeps in there",-0.011,"CHI","MOT","3.808",TRUE,36,TRUE,"Thomas/3-00-24.xml","2140.711","2144.519","2144.508","2146.087"
"58","91029","then they said they selled them","and they didn't sell them",1.59,"CHI","MOT","2.926",TRUE,37,TRUE,"Thomas/3-01-04.xml","1847.709","1850.635","1852.225","1853.584"
"59","91638","an the boy runned","and the man",0.313,"CHI","MOT","1.231",TRUE,37,TRUE,"Thomas/3-01-12.xml","1187.491","1188.722","1189.035","1189.697"
"60","92286","I drinked it all","I know",0.255,"CHI","MOT","1.115",TRUE,37,TRUE,"Thomas/3-01-13.xml","2687.405","2688.52","2688.775","2689.542"
"61","96671","oh dustbin mens men are coming","yes",0.093,"CHI","MOT","1.602",TRUE,38,TRUE,"Thomas/3-02-02.xml","33.747","35.349","35.442","36.127"
"62","97594","falled on floor","you're just eating your dinner and then you fell on the floor",0.406,"CHI","MOT","0.999",TRUE,38,TRUE,"Thomas/3-02-03.xml","2705.101","2706.1","2706.506","2708.677"
"63","97717","now it sawed it post lorry coming by","hello post lorry",1.545,"CHI","MOT","6.292",TRUE,38,TRUE,"Thomas/3-02-04.xml","9.501","15.793","17.338","19.056"
"64","98726","it flied","we had a yellow balloon and what happened to it",-0.708,"CHI","MOT","1.033",TRUE,38,TRUE,"Thomas/3-02-09.xml","28.754","29.787","29.079","31.621"
"65","98727","flied","it flying",0.318,"CHI","MOT","0.964",TRUE,38,TRUE,"Thomas/3-02-09.xml","30.553","31.517","31.835","32.613"
"66","98728","it flieded flied","it flied",0.418,"CHI","MOT","0.882",TRUE,38,TRUE,"Thomas/3-02-09.xml","32.613","33.495","33.913","34.877"
"67","98729","it flieded flied","yes",0,"CHI","MOT","0.999",TRUE,38,TRUE,"Thomas/3-02-09.xml","36.598","37.597","37.597","37.956"
"68","98731","it flieded flied it","you let go of the string didn't you",0.093,"CHI","MOT","1.555",TRUE,38,TRUE,"Thomas/3-02-09.xml","39.025","40.58","40.673","42.322"
"69","100497","and we have beened on the flags tool","let's have a look what your clean under pants have got on them",-0.094,"CHI","MOT","3.454",TRUE,39,TRUE,"Thomas/3-03-02.xml","2526.202","2529.656","2529.562","2532.296"
"70","100730","I just knowed","no you mustn't eat them",0.185,"CHI","MOT","1.452",TRUE,39,TRUE,"Thomas/3-03-03.xml","521.941","523.393","523.578","525.123"
"71","101522","I sweeped it up","oh you're very clever",-0.093,"CHI","MOT","1.37",TRUE,39,TRUE,"Thomas/3-03-04.xml","2092.892","2094.262","2094.169","2096.154"
"72","102047","I just maked it","Tom",0.534,"CHI","MOT","0.882",TRUE,39,TRUE,"Thomas/3-03-06.xml","2401.317","2402.199","2402.733","2403.117"
"73","103990","Mummy xxx all these little police womans here then police man have tools","oh does he",-1.199,"CHI","MOT","8.464",TRUE,40,TRUE,"Thomas/3-04-03.xml","1541.431","1549.895","1548.696","1549.346"
