age,total_tokens,overreg_tokens,error_tokens,or_rate,error_rate,or_of_err
24,21,0,1,0,4.761904761904762,0
25,26,0,0,0,0,NaN
26,47,5,7,10.638297872340425,14.893617021276595,71.42857142857143
27,59,0,16,0,27.11864406779661,0
28,48,2,17,4.166666666666666,35.41666666666667,11.76470588235294
29,34,1,13,2.941176470588235,38.23529411764706,7.6923076923076925
30,57,2,16,3.508771929824561,28.07017543859649,12.5
31,68,4,14,5.88235294117647,20.588235294117645,28.57142857142857
32,41,1,5,2.4390243902439024,12.195121951219512,20
33,54,10,15,18.51851851851852,27.77777777777778,66.66666666666666
34,52,5,13,9.615384615384617,25,38.46153846153847
35,55,8,11,14.545454545454545,20,72.72727272727273
36,67,10,23,14.925373134328357,34.32835820895522,43.47826086956522
37,60,3,16,5,26.666666666666668,18.75
38,26,8,12,30.76923076923077,46.15384615384615,66.66666666666666
39,27,4,11,14.814814814814813,40.74074074074074,36.36363636363637
40,21,1,12,4.761904761904762,57.14285714285714,8.333333333333332
41,19,2,11,10.526315789473683,57.89473684210527,18.181818181818183
42,33,3,17,9.090909090909092,51.515151515151516,17.647058823529413
43,23,6,16,26.08695652173913,69.56521739130434,37.5
44,21,1,7,4.761904761904762,33.33333333333333,14.285714285714285
45,36,0,6,0,16.666666666666664,0
46,24,1,7,4.166666666666666,29.166666666666668,14.285714285714285
47,15,1,5,6.666666666666667,33.33333333333333,20
48,10,3,5,30,50,60
49,36,0,8,0,22.22222222222222,0
50,48,2,7,4.166666666666666,14.583333333333334,28.57142857142857
51,40,0,6,0,15,0
52,56,0,6,0,10.714285714285714,0
53,42,3,9,7.142857142857142,21.428571428571427,33.33333333333333
54,41,5,12,12.195121951219512,29.268292682926827,41.66666666666667
55,41,7,11,17.073170731707318,26.82926829268293,63.63636363636363
56,43,5,8,11.627906976744185,18.6046511627907,62.5
57,59,1,4,1.694915254237288,6.779661016949152,25
58,64,4,9,6.25,14.0625,44.44444444444444
59,51,7,15,13.725490196078432,29.411764705882355,46.666666666666664
