"","utterance","response","response_time","speaker","responder","utterance_time","error","age","past_tense","plural","overlap","overreg_candidate"
"1","this shoes","shoes",-0.244,"CHI","MOT","2.426000000000002",TRUE,24,FALSE,TRUE,FALSE,TRUE
"2","two mens men","two men",-0.163000000000011,"CHI","MOT","1.4160000000001673",TRUE,26,FALSE,TRUE,FALSE,TRUE
"3","a bix biscuits","biscuits",-0.115999999999985,"CHI","MOT","1.021000000000015",TRUE,26,FALSE,TRUE,FALSE,TRUE
"4","two mens men","two men",0.0729999999998654,"CHI","MOT","1.4160000000001673",TRUE,26,FALSE,TRUE,FALSE,TRUE
"5","two mans men","two mans",0.302000000000135,"CHI","MOT","2.0670000000000073",TRUE,26,FALSE,TRUE,FALSE,TRUE
"6","two mans men","two mans",1.06799999999976,"CHI","MOT","1.1030000000000655",TRUE,26,FALSE,TRUE,FALSE,TRUE
"7","baby mans men","oh you've put some men over your eyes",0.619000000000142,"CHI","MOT","1.5790000000001783",TRUE,26,FALSE,TRUE,FALSE,TRUE
"8","oh two man men","that was some passengers waiting at the side of the platform for the train",2.85899999999992,"CHI","MOT","2.1599999999998545",TRUE,26,FALSE,TRUE,FALSE,TRUE
"9","bubble nan gone","where the bubble gone",0.0120000000000005,"CHI","MOT","1.625",TRUE,27,TRUE,FALSE,FALSE,TRUE
"10","a big bubbles","it is a big bubble isn't it",-0.256000000000029,"CHI","MOT","2.090000000000032",TRUE,27,FALSE,TRUE,FALSE,TRUE
"11","xxx the watch cherries","watch the cherries",-0.394999999999982,"CHI","MOT","4.423000000000229",TRUE,27,FALSE,TRUE,FALSE,TRUE
"12","no drops","no drops",-0.13799999999992,"CHI","MOT","1.2770000000000437",TRUE,27,FALSE,TRUE,FALSE,TRUE
"13","a big teef feet","they have big feet",-0.197000000000116,"CHI","INV","1.55600000000004",TRUE,27,FALSE,TRUE,FALSE,TRUE
"14","two two moneys","two moneys",0.813000000000102,"CHI","MOT","2.8099999999999454",TRUE,27,FALSE,TRUE,FALSE,TRUE
"15","two moneys please","two moneys please",-0.0889999999999418,"CHI","MOT","1.8920000000000528",TRUE,27,FALSE,TRUE,FALSE,TRUE
"16","two moneys","yes",0.0350000000000819,"CHI","MOT","1.2189999999998236",TRUE,27,FALSE,TRUE,FALSE,TRUE
"17","two moneys","two moneys",0.0349999999998545,"CHI","MOT","1.0450000000000728",TRUE,27,FALSE,TRUE,FALSE,TRUE
"18","moneys","moneys",-0.0350000000000819,"CHI","MOT","0.8479999999999563",TRUE,27,FALSE,TRUE,FALSE,TRUE
"19","oh two ones","two ones",-0.139999999999873,"CHI","MOT","1.3940000000000055",TRUE,27,FALSE,TRUE,FALSE,TRUE
"20","two moneys two moneys two moneys","two moneys",-0.0839999999998327,"CHI","MOT","4.632999999999811",TRUE,27,FALSE,TRUE,FALSE,TRUE
"21","a more box of moneys","yes",0,"CHI","MOT","2.2870000000000346",TRUE,27,FALSE,TRUE,FALSE,TRUE
