"","utterance","response","response_time","speaker","responder","utterance_time","age","past_tense","plural","manual_code"
"1","two mens men","two men",-0.163,"CHI","MOT","1.416",26,FALSE,TRUE,TRUE
"2","two mens men","two men",0.073,"CHI","MOT","1.416",26,FALSE,TRUE,TRUE
"3","two mans men","two mans",0.302,"CHI","MOT","2.067",26,FALSE,TRUE,TRUE
"4","two mans men","two mans",1.068,"CHI","MOT","1.103",26,FALSE,TRUE,TRUE
"5","baby mans men","oh you've put some men over your eyes",0.619,"CHI","MOT","1.579",26,FALSE,TRUE,TRUE
"6","two foots","two foots",0.245,"CHI","MOT","1.666",28,FALSE,TRUE,TRUE
"7","two peoples","two people",0.046,"CHI","MOT","1.486",28,FALSE,TRUE,TRUE
"8","a tree falled over","the tree's going to fall over because the train is going to hit them",0.011,"CHI","MOT","1.812",29,TRUE,FALSE,TRUE
"9","two mans men","we can do it with the men",0.907,"CHI","MOT","0.811",30,FALSE,TRUE,TRUE
"10","a falled over","who fell over",0.128,"CHI","MOT","1.939",30,TRUE,FALSE,TRUE
"11","yellow fishes","some fish",-0.12,"CHI","MOT","1.2",31,FALSE,TRUE,TRUE
"12","no bin mens men","yes",0.336,"CHI","INV","1.463",31,FALSE,TRUE,TRUE
"13","big fishes","oh are we going to find some big fishes there",0.441,"CHI","INV","1.265",31,FALSE,TRUE,TRUE
"14","uh buy fishes and sausages","fishes and sausages",-0.035,"CHI","MOT","2.543",31,FALSE,TRUE,TRUE
"15","um a lot of mans men","pardon",0.685,"CHI","MOT","2.089",31,FALSE,TRUE,TRUE
"16","lot of mans men","a lot of mans",0.004,"CHI","MOT","1.196",31,FALSE,TRUE,TRUE
"17","lot of rubbishes","a lot of rubbish",0.197,"CHI","MOT","1.718",32,FALSE,TRUE,TRUE
"18","I not see little mouses",NA,0.22,"CHI","MOT","2.148",33,FALSE,TRUE,TRUE
"19","a my holded it","we'll keep it out because you might have a lot of fun playing with it mightn't you",-0.023,"CHI","MOT","1.776",33,TRUE,FALSE,TRUE
"20","I fixeded fixed it","you fixeded it",0.07,"CHI","MOT","1.521",33,TRUE,FALSE,TRUE
"21","lots_of fishes","do you think there are a lot of fishes",-0.091,"CHI","MOT","2.425",33,FALSE,TRUE,TRUE
"22","lots_of fishes here","oh it's opening again",12.236,"CHI","INV","1.98",33,FALSE,TRUE,TRUE
"23","saw some big fishes","you saw some big fishes",0.023,"CHI","MOT","2.066",33,FALSE,TRUE,TRUE
"24","I have builded it","you've builded it",0.22,"CHI","MOT","1.997",33,TRUE,FALSE,TRUE
"25","eated it","she eaten eat",0.046,"CHI","MOT","0.941",33,TRUE,FALSE,TRUE
"26","it's not it's not fixeded fixed","it's not fixeded",-0.093,"CHI","MOT","2.531",33,TRUE,FALSE,TRUE
"27","Bob_the_Builder nearly runned","pardon",1.637,"CHI","MOT","2.333",33,TRUE,FALSE,TRUE
"28","xxx big fishes","yes",NA,"CHI","MOT","media info not available",33,FALSE,TRUE,TRUE
"29","Bob_Builder fixeded fixed it","Bob_the_Builder fixed it",0.012,"CHI","MOT","2.032",33,TRUE,FALSE,TRUE
"30","good mans men","he's a good man is he",0.464,"CHI","MOT","1.811",34,FALSE,TRUE,TRUE
"31","an droved away","he's driving away",0.36,"CHI","MOT","1.277",34,TRUE,FALSE,TRUE
"32","lady getted off it a did something","the lady got off a blue caravan to get something",0.641,"CHI","MOT","4.133",34,TRUE,FALSE,TRUE
"33","someone droved over on path","pardon",0.627,"CHI","MOT","2.264",34,TRUE,FALSE,TRUE
"34","someone droved over path","yes",-0.047,"CHI","MOT","1.684",34,TRUE,FALSE,TRUE
"35","goed away","I'll just move that",7.389,"CHI","MOT","1.509",34,TRUE,FALSE,TRUE
"36","um fishes","fish",0.673,"CHI","INV","1.463",35,FALSE,TRUE,TRUE
"37","just remember runned","you've just remember to run like the dustbin man when he gets out of his cab",0.06,"CHI","MOT","2.635",35,TRUE,FALSE,TRUE
"38","droved away","what did the policeman find when he went to see the fireman",1.44,"CHI","MOT","1.916",35,TRUE,FALSE,TRUE
"39","dustbin man tipper throwed it away","oh",0.209,"CHI","MOT","5.84",35,TRUE,FALSE,TRUE
"40","Judy throwed it","Judy threw something away",0.233,"CHI","MOT","1.904",35,TRUE,FALSE,TRUE
"41","big snake goed around","has somebody called you mischief",0.035,"CHI","MOT","2.194",35,TRUE,FALSE,TRUE
"42","big wind comed up and blows two down","the big the big wind come up and blown two of them down",0.543,"CHI","MOT","4.423",35,TRUE,FALSE,TRUE
"43","dirty beer lorry bringed that","the beer lorry brings that",0.024,"CHI","MOT","2.229",35,TRUE,FALSE,TRUE
"44","lorry droved away","driven away Thomas",0.627,"CHI","MOT","2.287",35,TRUE,FALSE,TRUE
"45","some silly womans women","what about Bryony and Charlotte",3.936,"CHI","MOT","2.125",36,FALSE,TRUE,TRUE
"46","a lorry droved away","driven away",-0.012,"CHI","MOT","2.357",36,TRUE,FALSE,TRUE
"47","eated that","eated it",-0.046,"CHI","MOT","0.871",36,TRUE,FALSE,TRUE
"48","flied in here","flied in here did it",NA,"CHI","MOT","1.579",36,TRUE,FALSE,TRUE
"49","I just throwed it in the air","oh you just throwed it in the air and it hit me did it",-0.14,"CHI","INV","2.787",36,TRUE,FALSE,TRUE
"50","a postman bringed it","the postman",NA,"CHI","INV","1.614",36,TRUE,FALSE,TRUE
"51","a dustbin mens men arriving","no",0.209,"CHI","MOT","2.275",36,FALSE,TRUE,TRUE
"52","I drawed under here","I know you did",-0.093,"CHI","MOT","0.998",36,TRUE,FALSE,TRUE
"53","dustbin mens men are here","who's here",0.441,"CHI","MOT","2.043",36,FALSE,TRUE,TRUE
"54","it runned away","you've driven away",5.322,"CHI","MOT","1.881",36,TRUE,FALSE,TRUE
"55","mans men wanted to kiss the fire engine","I would have liked to have kissed the fireman",0.464,"CHI","MOT","2.682",36,FALSE,TRUE,TRUE
"56","Son Sonia Isabelle falled on the road and and crash went the sick and all over air",NA,0.12,"CHI","INV","6.867",36,TRUE,FALSE,TRUE
"57","I I eated this one","that's right",-0.034,"CHI","MOT","2.089",36,TRUE,FALSE,TRUE
"58","Firefighter_Morris lied on the floor","oh right",0.198,"CHI","MOT","3.494",36,TRUE,FALSE,TRUE
"59","I think a mans men sleeps in there","do you think he sleeps in there",-0.011,"CHI","MOT","3.808",36,FALSE,TRUE,TRUE
"60","then he leaved his passengers on the line","oh it's gonna catch it",0.301,"CHI","INV","5.213",37,TRUE,FALSE,TRUE
"61","then they said they selled them","and they didn't sell them",1.59,"CHI","MOT","2.926",37,TRUE,FALSE,TRUE
"62","an the boy runned","and the man",0.313,"CHI","MOT","1.231",37,TRUE,FALSE,TRUE
"63","I drinked it all","I know",0.255,"CHI","MOT","1.115",37,TRUE,FALSE,TRUE
"64","because it falled in the water","really",0.128,"CHI","INV","2.02",37,TRUE,FALSE,TRUE
"65","then a hat falled on","don't throw that don't throw that",0.814,"CHI","INV","2.31",37,TRUE,FALSE,TRUE
"66","oh dustbin mens men are coming","yes",0.093,"CHI","MOT","1.602",38,FALSE,TRUE,TRUE
"67","falled on floor","you're just eating your dinner and then you fell on the floor",0.406,"CHI","MOT","0.999",38,TRUE,FALSE,TRUE
"68","now it sawed it post lorry coming by","hello post lorry",1.545,"CHI","MOT","6.292",38,TRUE,FALSE,TRUE
"69","it flied","we had a yellow balloon and what happened to it",-0.708,"CHI","MOT","1.033",38,TRUE,FALSE,TRUE
"70","flied","it flying",0.318,"CHI","MOT","0.964",38,TRUE,FALSE,TRUE
"71","it flieded flied","it flied",0.418,"CHI","MOT","0.882",38,TRUE,FALSE,TRUE
"72","it flieded flied","yes",0,"CHI","MOT","0.999",38,TRUE,FALSE,TRUE
"73","it flieded flied it","you let go of the string didn't you",0.093,"CHI","MOT","1.555",38,TRUE,FALSE,TRUE
"74","and we have beened on the flags tool","let's have a look what your clean under pants have got on them",-0.094,"CHI","MOT","3.454",39,TRUE,TRUE,TRUE
"75","I just knowed","no you mustn't eat them",0.185,"CHI","MOT","1.452",39,TRUE,FALSE,TRUE
"76","I sweeped it up","oh you're very clever",-0.093,"CHI","MOT","1.37",39,TRUE,FALSE,TRUE
"77","I just maked it","Tom",0.534,"CHI","MOT","0.882",39,TRUE,FALSE,TRUE
"78","you waked him up","have I",-0.011,"CHI","MOT","1.532",40,TRUE,FALSE,TRUE
"79","um I readed the ten o'clock","you read the newspaper at ten o'clock",0.499,"CHI","INV","4.272",40,TRUE,FALSE,TRUE
"80","because the we all fixeded fixed it","you fixeded it",0,"CHI","MOT","2.357",41,TRUE,FALSE,TRUE
"81","I have fixeded fixed it","you've fixeded it",0,"CHI","MOT","1.382",41,TRUE,FALSE,TRUE
"82","it blowed a xxx into a great big sea","it blew what into the sea",0,"CHI","MOT","3.982",42,TRUE,FALSE,TRUE
"83","here we comed out of the shops","right",-0.22,"CHI","MOT","1.834",42,TRUE,FALSE,TRUE
"84","oh I throwed it down","well you'd better pick it up because I can't make it if some of the pieces are missing can I",0.046,"CHI","MOT","2.659",42,TRUE,FALSE,TRUE
"85","now tell me the story when the fire catched on","when when next door caught fire",0.151,"CHI","MOT","5.259",43,TRUE,FALSE,TRUE
"86","he throwed it in xxx","goodness me",-0.105,"CHI","MOT","1.858",43,TRUE,FALSE,TRUE
"87","xxx you cutted it","I didn't cut it",-0.011,"CHI","MOT","3.878",43,TRUE,FALSE,TRUE
"88","baby falled down","and look on the same page as",0,"CHI","MOT","1.904",43,TRUE,FALSE,TRUE
"89","now she falled down","I know",-1.114,"CHI","MOT","1.939",43,TRUE,FALSE,TRUE
"90","Mummy Henry felled fell into a deep blue sea","did he",0.72,"CHI","MOT","4.934",43,TRUE,FALSE,TRUE
"91","he flied on on my head","you're probably suffering from jet lag Thomas you don't give yourself time in a country to catch up on your sleep before you fly off again",-2.739,"CHI","MOT","2.751",43,TRUE,FALSE,TRUE
"92","then they runned","was everybody",1.161,"CHI","INV","1.335",44,TRUE,FALSE,TRUE
"93","this is all the other rubbishes","where's the nearest rubbish tip to here",-0.008,"CHI","INV","2.147",44,FALSE,TRUE,TRUE
"94","now I've felled fell in","why did the fire man not put the fire out",-0.453,"CHI","MOT","1.3",44,TRUE,FALSE,TRUE
"95","not see green fishes for a while have you",NA,-1.138,"CHI","MOT","3.739",45,FALSE,TRUE,TRUE
"96","I runned over my toy",NA,NA,"CHI","MOT","media info not available",45,TRUE,FALSE,TRUE
"97","cause I eated some of that","have you",-0.093,"CHI","MOT","1.87",46,TRUE,FALSE,TRUE
